,Unnamed: 0,Mutants,Initial_Seeds,Mutants (Intermediate Language),Mutants (RTT Translation),BW_Label
147,149,"lines not having a number , not vowels , and not a lower-case letter","lines not having a number , not a vowel , and not a lower-case letter",没有数字，没有元音和没有小写字母的行,"lines with no numbers , no vowels and no lowercase letters",correct
148,150,"rows composed of either characters , the string <M0> , or vowels","lines composed of either characters , the string <M0> , or vowels",由字符，字符串<M0>或元音组成的行,"line consisting of characters , string <M0> or vowels",correct
149,151,"strings composed of either characters , the string <M0> , or vowels","lines composed of either characters , the string <M0> , or vowels",由字符，字符串<M0>或元音组成的字符串,"a string composed of characters , string <M0> or vowels",correct
150,152,"rows composed of only the string <M0> , 7 or more times","lines composed of only the string <M0> , 7 or more times",仅由字符串<M0>组成的行，连续7次或更多次,"line consisting only of the string <M0> , 7 or more consecutive times",correct
151,153,"lines composed of only the string <M0> , seven or more times","lines composed of only the string <M0> , 7 or more times",仅由字符串<M0>组成的行，连续七次或更多次,"a line consisting only of the string <M0> , seven or more consecutive times",correct
152,154,"lines with characters or a lower-case letter , four or greater times","lines with characters or a lower-case letter , four or more times",包含字符或小写字母的行，四次或更多次,"lines containing characters or lowercase letters , four or more times",correct
153,155,"lines with characters or a lower-case letter , four or more times in total","lines with characters or a lower-case letter , four or more times",包含字符或小写字母的行，总共四次或更多次,"lines containing characters or lowercase letters , a total of four or more times",correct
154,156,"rows with words that have a character , two or greater times","rows with words that have a character , 2 or greater times",带有两次以上字符的单词的行,lines of words with more than two characters,correct
155,157,"rows with a word that has a character , 2 or greater times","rows with words that have a character , 2 or greater times",包含2个或更多字符的单词的行,lines of words containing 2 or more characters,correct
156,158,"lines with a character then a lowercase letter , two or more consecutive times","lines with a character then a lower-case letter , two or more consecutive times",连续两个或多个字符的行，然后是小写字母,"a line of two or more consecutive characters , followed by lowercase letters",correct
157,159,"lines arranged with a character then a lower-case letter , two or more consecutive times","lines with a character then a lower-case letter , two or more consecutive times",连续两个或多个连续的字符排列的行，然后是小写字母,"a line of two or more consecutive characters , followed by lowercase letters",correct
158,160,"lines ending with the string <M0> or a vowel , 4 or more consecutive times","lines ending with the string <M0> or a vowel , 4 or more times",以字符串<M0>或元音结尾的行，连续4次或更多次,"lines ending with the string <M0> or vowels , 4 or more consecutive times",correct
159,161,"strings ending with the string <M0> or a vowel , 4 or more times","lines ending with the string <M0> or a vowel , 4 or more times",以字符串<M0>或元音结尾的字符串4次或更多次,strings ending in the string <M0> or vowels 4 or more times,correct
160,162,"strings with the string <M0> or letters and the string <M1> , greater than or equal to 0 times","strings with the string <M0> or letters and the string <M1> , greater than or equal to zero times",字符串<M0>或字母和字符串<M1>的字符串，大于或等于0次,"string <M0> or a string of letters and string <M1> , greater than or equal to 0 times",correct
161,163,rows ending with the string <M0>,lines ending with the string <M0>,以字符串<M0>结尾的行,line ending with the string <M0>,correct
162,164,the line ends with the string <M0>,lines ending with the string <M0>,该行以字符串<M0>结尾,the line ends with the string <M0>,correct
163,165,rows containing a capitalized letter then a vowel in front of the string <M0>,rows containing a capital letter then a vowel in front of the string <M0>,包含大写字母的行，然后在字符串<M0>前面的元音,"line containing uppercase letters , and then the vowel in front of the string <M0>",correct
164,166,"strings starting with words that have the string <M0> , 6 or more times in total","strings starting with words that have the string <M0> , 6 or more times",以包含字符串<M0>的单词开头的字符串，总共6次或更多次,"a string beginning with a word containing the string <M0> , a total of 6 or more times",correct
165,167,"strings starting with words that have the string <M0> , six or more times","strings starting with words that have the string <M0> , 6 or more times",以具有字符串<M0>的单词开头的字符串，六次或更多次,"a string starting with a word with the string <M0> , six or more times",correct
166,168,"lines ending with a character then the string <M0> , 4 or greater times","lines ending with a character followed by the string <M0> , 4 or greater times",以一个字符结尾的行，然后是字符串<M0>，至少4次,"line ending with one character , then the string <M0> , at least 4 times",correct
167,169,"strings ending with a character followed by the string <M0> , 4 or greater times","lines ending with a character followed by the string <M0> , 4 or greater times",以字符结尾的字符串，后跟字符串<M0>，4或更多次,"a character ending character string , followed by the character string <M0> , 4 or more times",correct
168,170,strings preceded by a capitalized letter then a letter,strings preceded by a capitalized letter followed by a letter,字符串后跟大写字母然后是字母,string followed by uppercase letters and then letters,correct
169,171,strings preceded by an uppercaseized letter followed by a letter,strings preceded by a capitalized letter followed by a letter,字符串后跟一个大写字母，再跟一个字母,"string followed by an uppercase letter , followed by a letter",correct
170,172,"lines not having a digit , not letters , and not a lower-case letter","lines not having a digit , not a letter , and not a lower-case letter",没有数字，字母和小写字母的行,"lines without numbers , letters and lowercase letters",correct
171,173,"lines not having a digit , not a letter , and not a lowercase letter","lines not having a digit , not a letter , and not a lower-case letter",没有数字，字母和小写字母的行,"lines without numbers , letters and lowercase letters",correct
172,174,lines not starting from letters and not a capital letter,lines not starting with letters and not a capital letter,行不是以字母开头也不是大写字母,the line does not start with a letter or is not a capital letter,correct
173,175,"strings not having the string <M0> , not vowels , and not a lower-case letter","lines not having the string <M0> , not vowels , and not a lower-case letter",字符串不包含字符串<M0>，不包含元音，也不包含小写字母,"the string does not contain the string <M0> , does not contain vowels , and does not contain lowercase letters",correct
174,176,"lines not having the string <M0> , not vowels , and not a lowercase letter","lines not having the string <M0> , not vowels , and not a lower-case letter",行没有字符串<M0>，没有元音，也没有小写字母,"the line has no string <M0> , no vowels , and no lowercase letters",correct
175,177,strings with words that have starting with the string <M0> then a lower case letter,lines with words that have starting with the string <M0> then a lower case letter,带有以<M0>开头的字母，然后是小写字母的单词的字符串,string with words starting with <M0> and then words with lowercase letters,bug
176,178,rows with words that have starting with the string <M0> then a lower case letter,lines with words that have starting with the string <M0> then a lower case letter,包含以字符串<M0>开头，然后为小写字母的单词的行,lines containing words starting with the string <M0> and then lowercase letters,bug
177,179,lines ending with a string that contains only a capital letter at least one time,lines ending with a string that contains only a capital letter at least once,以至少只包含一个大写字母的字符串结尾的行,lines that end with a string containing at least one uppercase letter,bug
178,180,rows ending with a string that contains only a capital letter at least once,lines ending with a string that contains only a capital letter at least once,以至少包含一次大写字母的字符串结尾的行,lines ending with a string containing at least one uppercase letter,correct
179,181,lines containing the string <M0> or a capitalized letter followed by characters,lines containing the string <M0> or a capital letter followed by characters,包含字符串<M0>或大写字母后跟字符的行,lines containing the string <M0> or uppercase letters followed by characters,correct
180,182,lines composed of the string <M0> or a capital letter followed by characters,lines containing the string <M0> or a capital letter followed by characters,由字符串<M0>或大写字母后跟字符组成的行,a line consisting of the string <M0> or uppercase letters followed by characters,correct
181,183,lines arranged with a character in front of a vowel or the string <M0> (zero or more times),"lines arranged with a character in front of a vowel or the string <M0> , zero or more times",在元音或字符串<M0>前面排列有字符的行（零次或多次）,"lines with characters arranged in front of the vowel or string <M0> , zero or more times",correct
182,184,"rows with a character , greater than or equal to two times in front of a digit","lines with a character , greater than or equal to two times in front of a digit",在一个数字前大于或等于两倍字符的行,a line that is greater than or equal to two characters before a number,correct
183,185,strings with a character before a vowel and containing a lower-case letter,lines with a character before a vowel and containing a lower-case letter,带有元音前字符且包含小写字母的字符串,string with characters before vowels and containing lowercase letters,correct
184,186,rows with the string <M0> or not characters at least one time,lines with the string <M0> or not characters at least one time,至少一次包含字符串<M0>的行,lines containing the string <M0> at least once,correct
185,187,lines arranged with words that contain ending with letters,lines with words that contain ending with letters,以包含以字母结尾的单词排列的行,lines that contain words that end with a letter,bug
186,188,rows with words that contain ending with letters,lines with words that contain ending with letters,包含以字母结尾的单词的行,lines containing words ending in letters,correct
187,189,"strings having either a letter , the string <M0> , or an upper case letter in front of the string <M1>","lines having either a letter , the string <M0> , or an upper case letter in front of the string <M1>",在字符串<M1>之前具有字母，字符串<M0>或大写字母的字符串,"a string with letters before the string <M1> , string <M0> or uppercase letters",bug
188,190,"rows having either a letter , the string <M0> , or an upper case letter in front of the string <M1>","lines having either a letter , the string <M0> , or an upper case letter in front of the string <M1>",具有字母，字符串<M0>或字符串<M1>前面的大写字母的行,"lines with letters , string <M0> or uppercase letter before string <M1>",correct
189,191,strings arranged with the string <M0> before the string <M1> or a number and the string <M2>,lines arranged with the string <M0> before the string <M1> or a number and the string <M2>,在字符串<M1>之前以字符串<M0>或数字和字符串<M2>排列的字符串,a character string arranged with character string <M0> or number and character string <M2> before character string <M1>,correct
190,192,lines arranged with the string <M0> before the string <M1> or digits and the string <M2>,lines arranged with the string <M0> before the string <M1> or a number and the string <M2>,在字符串<M1>或数字和字符串<M2>之前以字符串<M0>排列的行,lines arranged with the string <M0> before the string <M1> or the number and string <M2>,correct
191,193,"lines with a character followed by a vowel , two or more times","lines with a character followed by a vowel , 2 or more times",带有字符的行和元音，两次或更多次,"lines and vowels with characters , two or more times",correct
192,194,lines with the string <M0> then a lower-case letter,lines with the string <M0> followed by a lower-case letter,字符串<M0>的行，然后是小写字母,"the line of the string <M0> , followed by lowercase letters",correct
193,195,lines with the string <M0> followed by a lowercase letter,lines with the string <M0> followed by a lower-case letter,字符串<M0>后接小写字母的行,the string <M0> followed by lowercase letters,bug
194,196,"strings having either the string <M0> , vowels , or the string <M1> in front of numbers","strings having either the string <M0> , vowels , or the string <M1> before numbers",在数字前具有字符串<M0>，元音或字符串<M1>的字符串,"a string with the string <M0> , vowel or string <M1> before the number",correct
195,197,lines with a lower case letter then a digit in front of an upper case letter,lines with a lower-case letter then a digit in front of an upper case letter,带有小写字母的行，然后是大写字母前面的数字,"a line with lowercase letters , then the number before the uppercase letter",correct
196,198,lines with a lowercase letter then a digit in front of an upper case letter,lines with a lower-case letter then a digit in front of an upper case letter,带有小写字母的行，然后是大写字母前面的数字,"a line with lowercase letters , then the number before the uppercase letter",correct
197,199,"strings not having the string <M0> , a character , or the string <M1>","lines not having the string <M0> , a character , or the string <M1>",没有字符串<M0>，字符或字符串<M1>的字符串,"string without string <M0> , character or string <M1>",correct
198,200,"lines not having the string <M0> , characters , or the string <M1>","lines not having the string <M0> , a character , or the string <M1>",行不包含字符串<M0>，字符或字符串<M1>,"line does not contain string <M0> , character or string <M1>",correct
199,201,lines with a word that has a character or the string <M0> before the string <M1>,lines with words that have a character or the string <M0> before the string <M1>,行中包含字符或字符串<M0>之前的单词的行,lines containing characters or words before the string <M0>,correct
200,202,lines with words that have characters or the string <M0> before the string <M1>,lines with words that have a character or the string <M0> before the string <M1>,包含字符的单词行或字符串<M1>之前的字符串<M0>,word line containing characters or string <M0> before string <M1>,correct
201,203,"lines arranged with a number , 4 or greater times","lines arranged with a number , 4 or more times",行数大于等于4的行,the number of rows is greater than or equal to 4 rows,bug
202,204,"strings arranged with a number , 4 or more times","lines arranged with a number , 4 or more times",字符串排列了4次以上,the string is arranged more than 4 times,correct
203,205,lines consisting of an upper case letter,lines containing an upper case letter,由大写字母组成的行,line consisting of uppercase letters,correct
204,206,rows containing an upper case letter,lines containing an upper case letter,包含大写字母的行,lines containing capital letters,correct
205,207,strings with a word that has a vowel in front of a lower-case letter,strings with a word that has a vowel before a lower-case letter,带有在小写字母前带有元音的单词的字符串,string with words with vowels before lowercase letters,correct
206,208,strings with a word that has a vowel before a lower case letter,strings with a word that has a vowel before a lower-case letter,带有小写字母前有元音的单词的字符串,a string of words with vowels before lowercase letters,correct
207,209,"lines with a numeric character , 5 or more times","lines with a number , 5 or more times",带有5个或更多数字字符的行,lines with 5 or more numeric characters,correct
208,210,"lines arranged with a number , 5 or more times","lines with a number , 5 or more times",行数大于或等于5次,the number of rows is greater than or equal to 5 times,correct
209,211,"lines arranged with words that have a character , 0 or greater times","lines arranged with words that have a character , 0 or more times",用字符，大于等于0的单词排列的行,"lines arranged by characters , words greater than or equal to 0",correct
210,212,"lines arranged with a word that has a character , 0 or more times","lines arranged with words that have a character , 0 or more times",排列的行包含一个字符，该字符为0次或多次,"the arranged line contains one character , the character is 0 or more times",correct
211,213,"lines with lettered words , zero or greater times before a character","lines with a letter , zero or greater times before a character",带有字母单词的行，字符前的零次或更多次,"lines with letter words , zero or more times before the character",correct
212,214,"rows with words that have numbers , 5 or more times","rows with words that have a number , 5 or more times",包含5次或以上的数字的行,lines containing 5 or more numbers,correct
213,215,"rows with words that have digits , 5 or more times","rows with words that have a number , 5 or more times",带有5或更多次数字的单词的行,lines with words with 5 or more numbers,bug
214,216,the line begins with vowels or the string <M0>,the line begins with a vowel or the string <M0>,该行以元音或字符串<M0>开头,the line starts with a vowel or string <M0>,correct
215,217,lines not having a lower-case letter and not a numeric character,lines not having a lower-case letter and not a number,行不包含小写字母，也不包含数字字符,the line does not contain lowercase letters or numeric characters,correct
216,218,strings not having a lower-case letter and not a number,lines not having a lower-case letter and not a number,没有小写字母而不是数字的字符串,string without lowercase letters instead of numbers,correct
217,219,lines with the string <M0> before vowels or a numeric character,lines with the string <M0> before a vowel or a numeric character,在元音或数字字符前的字符串<M0>的行,the line of the string <M0> before the vowel or numeric character,correct
218,220,lines arranged with the string <M0> before a vowel or a numeric character,lines with the string <M0> before a vowel or a numeric character,在元音或数字字符前用字符串<M0>排列的行,lines arranged with the string <M0> before vowels or numeric characters,correct
219,221,strings with words that have the string <M0> or composed of the string <M1>,lines with words that have the string <M0> or composed of the string <M1>,字符串为<M0>或由字符串<M1>组成的单词的字符串,the string is <M0> or a string of words consisting of the string <M1>,correct
220,222,lines arranged with words that have the string <M0> or composed of the string <M1>,lines with words that have the string <M0> or composed of the string <M1>,由具有字符串<M0>或由字符串<M1>组成的单词排列的行,lines arranged by words with the character string <M0> or the character string <M1>,correct
221,223,rows starting with a letter before a character,lines starting with a letter before a character,以字符开头的字母开头的行,lines beginning with a letter beginning with a character,bug
222,224,strings starting with a letter before a character,lines starting with a letter before a character,以字符前的字母开头的字符串,string beginning with the letter before the character,correct
223,225,"lines arranged with words that contain either a vowel , the string <M0> , or the string <M1>","lines with words that contain either a vowel , the string <M0> , or the string <M1>",行排列的单词包含元音，字符串<M0>或字符串<M1>,"words arranged in rows contain vowels , string <M0> or string <M1>",bug
224,226,"rows with words that contain either a vowel , the string <M0> , or the string <M1>","lines with words that contain either a vowel , the string <M0> , or the string <M1>",包含元音，字符串<M0>或字符串<M1>的单词的行,"lines of words containing vowels , string <M0> or string <M1>",correct
225,227,strings with a lower-case letter then a digit in front of an upper case letter,lines with a lower-case letter then a digit in front of an upper case letter,带有小写字母的字符串，然后是大写字母前面的数字,"string with lowercase letters , then the number before the uppercase letter",correct
226,228,lines arranged with a lower-case letter then a digit in front of an upper case letter,lines with a lower-case letter then a digit in front of an upper case letter,以小写字母排列的行，然后是大写字母前面的数字,"rows in lowercase letters , followed by the numbers before the uppercase letters",bug
227,229,"rows beginning with the string <M0> then the string <M1> , greater than or equal to 5 times","rows starting with the string <M0> then the string <M1> , greater than or equal to 5 times",以字符串<M0>开头的行，然后是字符串<M1>的行，大于或等于5倍,"the line starting with the string <M0> , and then the line with the string <M1> , greater than or equal to 5 times",correct
228,230,"rows not having the string <M0> , not characters , nor the string <M1>","lines not having the string <M0> , not characters , nor the string <M1>",行没有字符串<M0>，没有字符，也没有字符串<M1>,"the line has no string <M0> , no characters , and no string <M1>",correct
229,231,the line starts with vowels or containing the string <M0>,the line starts with a vowel or containing the string <M0>,该行以元音开头或包含字符串<M0>,the line starts with a vowel or contains the string <M0>,correct
230,232,"rows are not a word that has a vowel , not a lower case letter , instead of the string <M0>","rows are not a word that has a vowel , not a lower-case letter , instead of the string <M0>",行不是具有元音而不是小写字母的单词，而不是字符串<M0>,"the line is not a word with vowels instead of lowercase letters , not the string <M0>",correct
231,233,"rows are not a word that has a vowel , not a lowercase letter , instead of the string <M0>","rows are not a word that has a vowel , not a lower-case letter , instead of the string <M0>",行不是具有元音而不是小写字母的单词，而不是字符串<M0>,"the line is not a word with vowels instead of lowercase letters , not the string <M0>",correct
232,234,the line starts with vowels or containing the string <M0>,the line starts with a vowel or containing the string <M0>,该行以元音开头或包含字符串<M0>,the line starts with a vowel or contains the string <M0>,correct
233,235,rows consisting of the string <M0>,lines consisting of the string <M0>,由字符串<M0>组成的行,line consisting of the string <M0>,correct
234,236,strings consisting of the string <M0>,lines consisting of the string <M0>,由字符串<M0>组成的字符串,string composed of string <M0>,correct
235,237,strings beginning with words that contain a character,strings starting with words that contain a character,以包含字符的单词开头的字符串,string beginning with a word containing characters,correct
236,238,strings preceded by words that contain a character,strings starting with words that contain a character,字符串后跟包含字符的单词,string followed by words containing characters,correct
237,239,rows with words that do not have a vowel at least once,rows with words that don't have a vowel at least once,带有至少一次没有元音的单词的行,lines with words without vowels at least once,correct
238,240,rows with words that don't have a vowel at least one time,rows with words that don't have a vowel at least once,至少一次没有元音的单词的行,lines of words without vowels at least once,bug
239,241,"lines with words that do not have a character , 0 or more times","lines with words that don't have a character , 0 or more times",没有字符的单词行，0次或多次,"word line without characters , 0 or more times",correct
240,242,"strings with words that don't have a character , 0 or more times","lines with words that don't have a character , 0 or more times",带有不带字符的单词的字符串，0次或更多次,"string with words without characters , 0 or more times",correct
241,243,lines made up of a character or a vowel,lines containing a character or a vowel,由字符或元音组成的行,line consisting of characters or vowels,correct
242,244,lines composed of a character or a vowel,lines containing a character or a vowel,由字符或元音组成的行,line consisting of characters or vowels,correct
243,245,lines not having a capital letter and not a character in front of lettered words,lines not having a capital letter and not a character in front of a letter,没有大写字母且字母前面没有字符的行,lines with no uppercase letters and no characters before the letter,correct
244,246,lines not having an upper case letter and not a character in front of a letter,lines not having a capital letter and not a character in front of a letter,没有大写字母且字母前面没有字符的行,lines with no uppercase letters and no characters before the letter,correct
245,247,"rows not having a digit , not a capitalized letter , nor a vowel","rows not having a digit , not a capitalized letter , and not a vowel",没有数字，大写字母或元音的行,"lines without numbers , capital letters or vowels",correct
246,248,"rows not having a digit , not an uppercaseized letter , and not a vowel","rows not having a digit , not a capitalized letter , and not a vowel",没有数字，没有大写字母和元音的行,"no lines with numbers , no capital letters and vowels",bug
247,249,"lines with the string <M0> or containing only the string <M1> , greater than or equal to three times","lines with the string <M0> or containing only the string <M1> , three or more times",字符串<M0>或仅包含字符串<M1>的行，大于或等于三倍,"the string <M0> or the line containing only the string <M1> , greater than or equal to three times",correct
248,250,lines arranged with the string <M0> before the string <M1> or a letter,lines with the string <M0> before the string <M1> or a letter,在字符串<M1>或字母之前以字符串<M0>排列的行,lines arranged in the string <M0> before the string <M1> or letters,correct
249,251,lines with the string <M0> before the string <M1> or letters,lines with the string <M0> before the string <M1> or a letter,在字符串<M1>或字母之前的字符串<M0>的行,the line of the string <M0> before the string <M1> or the letter,correct
250,252,lines with words that have starting from the string <M0> or the string <M1>,lines with words that have starting with the string <M0> or the string <M1>,从字符串<M0>或字符串<M1>开始的单词行,word line starting from string <M0> or string <M1>,correct
251,253,rows with words that have starting with the string <M0> or the string <M1>,lines with words that have starting with the string <M0> or the string <M1>,以字符串<M0>或字符串<M1>开头的单词的行,a line of words starting with the string <M0> or the string <M1>,correct
252,254,the line ends with the string <M0> or a lower-case letter followed by the string <M1>,lines ending with the string <M0> or a lower-case letter followed by the string <M1>,该行以字符串<M0>或小写字母结尾，后跟字符串<M1>,"the line ends with the string <M0> or a lowercase letter , followed by the string <M1>",correct
253,255,rows ending with the string <M0> or a lower-case letter followed by the string <M1>,lines ending with the string <M0> or a lower-case letter followed by the string <M1>,以字符串<M0>或小写字母后跟字符串<M1>结尾的行,lines ending with the string <M0> or lowercase letters followed by the string <M1>,correct
254,256,"strings with the string <M0> , no more than 3 times or starting with numbers","strings with the string <M0> , 3 or more times or starting with numbers",字符串<M0>的字符串，最多3次或以数字开头,"string of string <M0> , up to 3 times or start with a number",correct
255,257,"strings with the string <M0> , 3 or more times in total or starting with numbers","strings with the string <M0> , 3 or more times or starting with numbers",字符串为<M0>的字符串，总共3次或更多次，或者以数字开头,"the string is a string of <M0> , a total of 3 or more times , or starts with a number",correct
256,258,"lines with the string <M0> , 3 or greater times or a vowel followed by the string <M1>","lines with the string <M0> , 3 or more times or a vowel followed by the string <M1>",字符串<M0>的行，连续3次或更多次，或者元音后跟字符串<M1>,"the line of the string <M0> , 3 or more consecutive times , or the vowel followed by the string <M1>",correct
257,259,"strings with the string <M0> , 3 or more times or a vowel followed by the string <M1>","lines with the string <M0> , 3 or more times or a vowel followed by the string <M1>",包含字符串<M0>的字符串，3次或更多次或一个元音后跟字符串<M1>,"a string containing the string <M0> , 3 or more times or a vowel followed by the string <M1>",correct
258,260,lines not having the string <M0> or numbers in front of a lowercase letter,lines not having the string <M0> or numbers in front of a lower-case letter,没有字符串<M0>或小写字母前面的数字的行,lines without the string <M0> or numbers before lowercase letters,correct
259,261,rows not having the string <M0> or numbers in front of a lower-case letter,lines not having the string <M0> or numbers in front of a lower-case letter,没有字符串<M0>或小写字母前面的数字的行,lines without the string <M0> or numbers before lowercase letters,correct
260,262,rows composed of an upper case letter before characters,lines composed of an upper case letter before characters,在字符前由大写字母组成的行,a line consisting of uppercase letters before the character,correct
261,263,strings composed of an upper case letter before characters,lines composed of an upper case letter before characters,在字符前由大写字母组成的字符串,a string of uppercase letters before the character,bug
262,264,the line starts with words that have a capitalized letter followed by a character,lines starting with words that have a capitalized letter followed by a character,该行以带有大写字母的单词开头，后跟一个字符,"the line starts with a word with capital letters , followed by a character",correct
263,265,the line begins with words that have a capitalized letter followed by a character,lines starting with words that have a capitalized letter followed by a character,该行以带有大写字母的单词开头，后跟一个字符,"the line starts with a word with capital letters , followed by a character",correct
264,266,lines with numbers before a vowel or the string <M0>,lines with a number before a vowel or the string <M0>,元音前的数字或字符串<M0>,number or string before the vowel <M0>,correct
265,267,rows with a number before a vowel or the string <M0>,lines with a number before a vowel or the string <M0>,元音前的数字或字符串<M0>的行,number or string <M0> before the vowel,bug
266,268,"lines having either a lower-case letter , a vowel , or a capital letter in front of a character","lines having either a lower-case letter , a vowel , or a capital letter before a character",字符前面有小写字母，元音或大写字母的行,"a line with a lowercase , vowel , or uppercase letter before the character",correct
267,269,"lines having either a lower case letter , a vowel , or a capital letter before a character","lines having either a lower-case letter , a vowel , or a capital letter before a character",字符前有小写字母，元音或大写字母的行,"lines with lowercase letters , vowels or uppercase letters before the characters",correct
268,270,strings ending with an upper case letter or not the string <M0>,lines ending with an upper case letter or not the string <M0>,以大写字母结尾的字符串或不是字符串<M0>,a string ending in a capital letter or not a string <M0>,correct
269,271,the line ends with an upper case letter or not the string <M0>,lines ending with an upper case letter or not the string <M0>,该行以大写字母结尾或不是字符串<M0>,the line ends with a capital letter or is not a string <M0>,correct
270,272,"strings with a letter or a lower-case letter , greater than or equal to 2 times","lines with a letter or a lower-case letter , greater than or equal to 2 times",字母或小写字母大于或等于2倍的字符串,a string of letters or lowercase letters greater than or equal to 2 times,correct
271,273,lines arranged with a word that has the string <M0> then the string <M1> at least once,lines arranged with words that have the string <M0> then the string <M1> at least once,行排列的单词至少包含一次字符串<M0>然后是字符串<M1>,words arranged in rows contain the string <M0> and then the string <M1> at least once,bug
272,274,strings arranged with words that have the string <M0> then the string <M1> at least once,lines arranged with words that have the string <M0> then the string <M1> at least once,至少包含一次包含单词<M0>然后字符串<M1>的单词的字符串,a string containing words containing the word <M0> and then the string <M1> at least once,correct
273,275,"strings with a character followed by a vowel , 2 or more times","lines with a character followed by a vowel , 2 or more times",字符后跟元音的字符串，两次或更多次,"a string of characters followed by vowels , two or more times",correct
274,276,"lines composed of letters then the string <M0> , 7 or more times in total","lines composed of letters then the string <M0> , 7 or more times",由字母和字符串<M0>组成的行，总共7次或更多次,"a line consisting of letters and string <M0> , a total of 7 or more times",correct
275,277,"rows having either a lower case letter , the string <M0> , or characters in front of the string <M1>","lines having either a lower case letter , the string <M0> , or characters in front of the string <M1>",具有小写字母，字符串<M0>或字符串<M1>前面的字符的行,"lines with lowercase letters , string <M0> or characters before string <M1>",bug
276,278,"strings having either a lower case letter , the string <M0> , or characters in front of the string <M1>","lines having either a lower case letter , the string <M0> , or characters in front of the string <M1>",具有小写字母，字符串<M0>或字符串<M1>前面的字符的字符串,"a string with lowercase letters , the character before the string <M0> or the string <M1>",bug
277,279,"strings with a lowercase letter , no more than six times","strings with a lowercase letter , no more than 6 times",带有小写字母的字符串，最多不超过六次,"string with lowercase letters , no more than six times",correct
278,280,the line starts with a vowel or using the string <M0>,the line starts with a vowel or containing the string <M0>,该行以元音或使用字符串<M0>开头,the line starts with a vowel or the string <M0>,correct
279,281,the line starts with vowels or containing the string <M0>,the line starts with a vowel or containing the string <M0>,该行以元音开头或包含字符串<M0>,the line starts with a vowel or contains the string <M0>,correct
280,282,"rows ending with the string <M0> followed by a character , up to 3 times","lines ending with the string <M0> followed by a character , up to 3 times",以字符串<M0>结尾且后跟一个字符的行，最多3次,"lines ending with the string <M0> followed by one character , up to 3 times",correct
281,283,"strings ending with the string <M0> followed by a character , up to 3 times","lines ending with the string <M0> followed by a character , up to 3 times",以字符串<M0>结尾的字符串，后跟一个字符，最多3次,"a string ending with the string <M0> , followed by a character , up to 3 times",correct
282,284,strings are not a word that has the string <M0> followed by a numeric character,lines are not a word that has the string <M0> followed by a numeric character,字符串不是包含字符串<M0>后跟数字字符的单词,the string is not a word containing the string <M0> followed by numeric characters,correct
283,285,rows are not a word that has the string <M0> followed by a numeric character,lines are not a word that has the string <M0> followed by a numeric character,行不是包含字符串<M0>后跟数字字符的单词,the line is not a word that contains the string <M0> followed by numeric characters,correct
284,286,"strings not having the string <M0> in front of either a vowel , the string <M1> , or a character","strings not having the string <M0> before either a vowel , the string <M1> , or a character",在元音，字符串<M1>或字符前面没有字符串<M0>的字符串,"in the vowel , the string <M1> or the string without the string <M0> before the character",bug
285,287,"strings not having the string <M0> before either a vowel , the string <M1> , or characters","strings not having the string <M0> before either a vowel , the string <M1> , or a character",元音，字符串<M1>或字符前没有字符串<M0>的字符串,"vowel , character string <M1> or character string without character string <M0>",bug
286,288,"rows arranged with vowels or the string <M0> , up to 7 times in total","lines arranged with vowels or the string <M0> , up to 7 times in total",用元音或字符串<M0>排列的行，总共最多7次,"lines arranged with vowels or string <M0> , a total of up to 7 times",correct
287,289,"lines arranged with vowels or the string <M0> , up to seven times in total","lines arranged with vowels or the string <M0> , up to 7 times in total",用元音或字符串<M0>排列的行，总共最多七次,"lines arranged with vowels or string <M0> , a total of up to seven times",correct
288,290,rows starting with the string <M0> or a vowel,lines starting with the string <M0> or a vowel,以字符串<M0>或元音开头的行,line starting with the string <M0> or vowel,correct
289,291,strings starting with the string <M0> or a vowel,lines starting with the string <M0> or a vowel,以字符串<M0>或元音开头的字符串,a string beginning with the string <M0> or a vowel,correct
290,292,strings with lettered words followed by the string <M0> in front of vowels,strings with lettered words followed by the string <M0> before vowels,带有字母单词的字符串，后跟元音前面的字符串<M0>,a string of letter words followed by the string <M0> before the vowel,bug
291,293,strings with lettered words then the string <M0> before vowels,strings with lettered words followed by the string <M0> before vowels,带字母单词的字符串，然后是元音前的字符串<M0>,"a string of letter words , then the string before the vowel <M0>",bug
292,294,"lines not having a lower-case letter , not a capitalized letter , and not the string <M0>","lines not having a lower-case letter , not a capital letter , and not the string <M0>",行没有小写字母，大写字母和字符串<M0>,"the line has no lowercase letters , uppercase letters and string <M0>",correct
293,295,"strings not having a lower-case letter , not a capital letter , and not the string <M0>","lines not having a lower-case letter , not a capital letter , and not the string <M0>",不包含小写字母，大写字母和字符串<M0>的字符串,"a string that does not contain lowercase letters , uppercase letters and the string <M0>",correct
294,296,"lines with an uppercase letter , zero or more times in total in front of a digit","lines with an uppercase letter , zero or more times in front of a digit",大写字母的行，在数字前总共零次或多次,"lines of uppercase letters , a total of zero or more times before the number",correct
295,297,"lines with an uppercase letter , 0 or more times in front of a digit","lines with an uppercase letter , zero or more times in front of a digit",大写字母的行，在数字前0次或多次,"lines of capital letters , 0 or more times before the number",correct
