No.,Buggy_Trip_Plural_Evaluator1,Buggy_Trip_Plural_Evaluator2,Buggy_Trip_Plural_Consistent,Translation_Label_Evaluator1,Translation_Label_Evaluator2,Translation_Label_Consistent,Bug_Type_Evaluator1,Bug_Type_Evaluator2,Bug_Type_Consistent,Source_Sentence,Source_Regex,Intermediate_Sentence,Translated_Sentence,Translated_Regex,LEVEN,LEVEN_Norm,Dep_Distance,DEP,DEP_Norm,SBERT,SBERT_Norm,BLEU,BLEU_Norm,REG,REG_Norm,DFA_Raw,DFA,DFA_Norm,HYB,HYB_Norm
133,c,,None,correct,correct,correct,,,,"lines ending with the string <M0> followed by a character , up to 3 times","( ( . * ) ( <M0> . * . . * ) ) { , 3 }",以字符串<M0>结尾的行，后跟一个字符，最多3次,"line ending with the string <M0> , followed by a character , up to 3 times","( ( . * ) ( <M0> . * . . * ) ) { , 3 }",0.9594594590000001,0.985401981,1,0.956521739,0.947368421,0.9959807759999999,0.9941173809999999,0.940739008,0.957600021,1.0,1.0,1.0,1.0,1.0,1.0,1.0
134,c,,None,correct,correct,correct,,,,lines starting with letters and containing the string <M0>,(( [ <LET> ] ) + ( . * ) ) & ( . * <M0> . * ),以字母开头并包含字符串<M0>的行,lines beginning with letters and containing the string <M0>,( ( [ <LET> ] ) + ( . * ) ) & ( . * <M0> . * ),0.898305085,0.9108156,0,1.0,1.0,0.995921323,0.993932549,0.869128054,0.856553998,1.0,1.0,1.0,1.0,1.0,1.0,1.0
135,c,,None,correct,correct,correct,,,,"lines containing a vowel or lettered words , no more than 6 times",". * ( ( [ <VOW> ] ) |( [ <LET> ] ) + ) { , 6 } . *",包含元音或字母单词的行，不得超过6次,"lines containing vowel or letter words , no more than 6 times",". * ( ( [ <LET> ] ) | ( [ <LET> ] ) + ) { , 6 } . *",0.938461538,0.959792056,3,0.869565217,0.842105263,0.9956230509999999,0.993005261,0.900440548,0.9007372240000001,0.933333333,0.923809524,1.0,1.0,1.0,0.966666667,0.9644444440000001
136,p,plural,p,bug,bug,bug,,,,lines containing vowels and a character before the string <M0>,( . * [ <VOW> ] . * ) & ( ( . ) . * ( <M0> ) . * ),包含元音和字符串<M0>前面的字符的行,lines containing vowels and characters before the string <M0>,( . * ( [ <VOW> ] ) + & ( . ) + . * ) . * ( <M0> ) . *,0.951612903,0.9758319990000001,3,0.869565217,0.842105263,0.995513302,0.992664065,0.9288091070000001,0.940766436,0.590909091,0.5324675320000001,0.07874,0.07874,0.07874,0.334824545,0.290479515
137,c,,None,correct,correct,correct,,,,lines ending with the string <M0>,( . * ) ( <M0> ),以字符串<M0>结尾的行,line ending with the string <M0>,( . * ) ( <M0> ),0.96969697,0.997888068,0,1.0,1.0,0.995511466,0.992658358,0.919435397,0.927539743,1.0,1.0,1.0,1.0,1.0,1.0,1.0
138,c,,None,correct,correct,correct,,,,"lines ending with the string <M0> or a vowel , 4 or more times","( . * ) ( ( <M0> ) | ( ( [ <VOW> ] ) { 4 , } ) )",以字符串<M0>或元音结尾的行4次或更多次,lines ending with the string <M0> or vowel 4 or more times,"( . * ) ( ( ( <M0> ) | ( [ <VOW> ] ) ) { 4 , } )",0.935483871,0.956160371,4,0.826086957,0.789473685,0.9951612329999999,0.9915695290000001,0.9081038140000001,0.91155041,0.75,0.7142857140000001,1.0,1.0,1.0,0.875,0.8666666670000001
139,c,,None,correct,correct,correct,,,,lines consisting of the string <M0>,. * <M0> . *,由字符串<M0>组成的行,line consisting of the string <M0>,. * <M0> . *,0.9714285709999999,1.0,0,1.0,1.0,0.9945265240000001,0.989596302,0.9243310579999999,0.9344477240000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0
140,c,,None,correct,correct,correct,,,,lines containing words that contain only vowels,. * \ b [ <VOW> ] \ b . *,包含仅包含元音的单词的行,lines containing words containing only vowels,. * [ <VOW> ],0.8297872340000001,0.827248422,3,0.869565217,0.842105263,0.994467338,0.989412301,0.8386867259999999,0.813600023,0.428571429,0.346938776,3.9339568000000004e-05,3.93396e-05,3.93396e-05,0.214305384,0.161925743
141,c,,None,correct,correct,correct,,,,lines with words that have starting with the string <M0> or the string <M1>,\ b ( ( <M0> ) ( . * ) ) | ( <M1> ) \ b,以以字符串<M0>或字符串<M1>开头的单词的行,lines with words starting with the string <M0> or the string <M1>,\ b ( ( <M0> ) | ( <M1> ) ) ( . * ),0.8666666670000001,0.872228089,4,0.826086957,0.789473685,0.994414925,0.989249356,0.853438013,0.8344147,0.533333333,0.46666666700000003,0.0153846,0.0153846,0.0153846,0.274358967,0.22598289800000002
142,c,,None,correct,correct,correct,,,,"lines with the string <M0> or containing only the string <M1> , three or more times","( ( <M0> ) | ( <M1> ) ) { 3 , }",包含字符串<M0>或仅包含字符串<M1>的行三遍或更多遍,lines containing the string <M0> or only the string <M1> three or more times,"( . * ( <M0> ) | ( <M1> ) . * ) { 3 , }",0.7349397590000001,0.711568555,6,0.739130435,0.6842105270000001,0.99437007,0.989109908,0.875698943,0.865825794,0.7142857140000001,0.673469388,0.0156,0.0156,0.0156,0.364942857,0.322605714
143,FW,FW,FW,bug,bug,bug,order,order,order,"lines with the string <M0> or ending with lettered words , zero or more times",( ( <M0> ) | ( ( . * )( [ <LET> ] ) + ) ) *,以字符串<M0>或以字母单词结尾的行，零次或多次,"lines ending with the string <M0> or letter words , zero or more times",( . * ) ( ( ( <M0> ) | ( [ <LET> ] ) + ) * ),0.727272727,0.702217529,7,0.695652174,0.6315789479999999,0.994255222,0.98875286,0.866134263,0.852329635,0.529411765,0.46218487399999997,0.8281,0.8281,0.8281,0.678755882,0.657339608
144,c,,None,correct,correct,correct,,,,lines starting from the string <M0> or ending with a number,( ( <M0> ) ( . * ) ) | ( ( . * ) ( [ <NUM> ] ) ),从字符串<M0>开始或以数字结尾的行,line starting with the string <M0> or ending with a number,( ( <M0> ) ( . * ) ) | ( ( . * ) ( [ <NUM> ] ) ),0.9152542370000001,0.9314874809999999,4,0.826086957,0.789473685,0.9940697059999999,0.988176115,0.8593165859999999,0.84270961,1.0,1.0,1.0,1.0,1.0,1.0,1.0
145,BW,BW,BW,bug,bug,bug,order,order,order,the line starts with characters or a number before a letter,( ( . ) + | ( ( [ <NUM> ] ) . * ( [ <LET> ] ) . * ) ) ( . * ),该行以字符或字母前的数字开头,the line starts with a number before a character or letter,( ( [ <NUM> ] ) ( . * ) ) . * ( . ) . *,0.576271186,0.518049863,0,1.0,1.0,0.993922392,0.9877181359999999,0.91418645,0.9201332609999999,0.47826087,0.403726708,0.158729,0.158729,0.158729,0.318494935,0.27306126399999997
146,FW,ambiguity,FW,bug,bug,bug,"affiliation, under-translation",ut/affiliation,"affiliation, under-translation","lines preceded by the string <M0> before the string <M1> , zero or more times",( ( <M0> ) ( . * ) ) . * ( ( <M1> ) * ) . *,在字符串<M1>之前的字符串<M0>之前的行，零次或多次,"the line before the string <M0> before the string <M1> , zero or more times",( ( <M1> ) . * ( <M0> ) . * ) . * ( ( <M0> ) * ) . *,0.818181818,0.813093981,6,0.739130435,0.6842105270000001,0.9938699959999999,0.987555243,0.83548012,0.8090753690000001,0.681818182,0.636363636,0.0,0.0,0.0,0.340909091,0.296969697
147,p,,None,bug,correct,correct,,,,lines with the string <M0> before a letter or a capital letter,( <M0> ) . * ( ( [ <LET> ] ) | ( [ <CAP> ] ) ) . *,在字母或大写字母前加上字符串<M0>的行,line with the string <M0> before the letter or capital letter,( <M0> ) . * ( ( <M2> ) | ( [ <CAP> ] ) ) . *,0.9032258059999999,0.916817113,1,0.956521739,0.947368421,0.9938641309999999,0.98753701,0.869570554,0.857178384,0.9375,0.9285714290000001,1.0,1.0,1.0,0.96875,0.966666667
148,p,plural,p,bug,bug,bug,,,,lines containing characters or a lowercase letter,. * ( . ) + | ( [ <LOW> ] ) . *,包含字符或小写字母的行,lines containing characters or lowercase letters,. * ( . ) + | ( [ <LET> ] ) . *,0.93877551,0.9601749890000001,1,0.956521739,0.947368421,0.993859548,0.987522762,0.9419205070000001,0.959267165,0.916666667,0.904761905,1.0,1.0,1.0,0.958333333,0.955555556
149,c,,None,correct,correct,correct,,,,strings with the string <M0> before a string that contains a vowel and the string <M1>,( <M0> ) . * ( . * ( [ <VOW> ] ) & ( <M1> ) . * ) . *,在包含元音和字符串<M1>的字符串之前带有字符串<M0>的字符串,a string with the string <M0> before the string containing the vowel and the string <M1>,( ( <M0> ) . * ( <M0> ) . * ) . * ( ( <M0> ) & ( <M1> ) ) . *,0.806818182,0.799234425,4,0.826086957,0.789473685,0.9938185279999999,0.9873952359999999,0.841013694,0.8168834709999999,0.6,0.542857143,1.0,1.0,1.0,0.8,0.786666667
150,c,plural,p,correct,bug,bug,,,,lines with a number or containing only the string <M0> at least once,( ( [ <NUM> ] ) | ( <M0> ) ) +,带有数字或仅包含字符串<M0>的行至少一次,lines with numbers or only containing the string <M0> at least once,( ( [ <NUM> ] ) + | ( . * <M0> . * ) ) +,0.8088235290000001,0.8016802279999999,1,0.956521739,0.947368421,0.993696695,0.987016473,0.9025780999999999,0.9037533990000001,0.666666667,0.6190476189999999,1.0,1.0,1.0,0.833333333,0.8222222220000001
151,FW,ambiguity,BW,bug,bug,bug,affiliation,affiliation,affiliation,lines not containing only a lowercase letter and not the string <M0>,~ ( ( [ <LOW> ] ) & ( <M0> ) ),行不只包含小写字母，也不包含字符串<M0>,the line contains not only lowercase letters but also the string <M0>,~ ( ( [ <LET> ] ) + & ( <M0> ) ) *,0.68115942,0.64597585,4,0.826086957,0.789473685,0.937192723,0.81135306,0.723308837,0.650797041,0.75,0.7142857140000001,-1.0,0.0,0.0,0.375,0.333333333
152,FW,FW,FW,bug,bug,bug,"quantifier, under-translation",ut/quantity,"quantifier, under-translation",lines with a lower-case letter before the string <M0> at least once,( [ <LOW> ] ) . * ( ( <M0> ) + ) . *,至少在字符串<M0>前用小写字母的行,lines with at least lowercase letters before the string <M0>,( ( [ <LET> ] ) + ) . * ( <M0> ) . *,0.656716418,0.616164164,6,0.739130435,0.6842105270000001,0.937212802,0.811415483,0.813967927,0.778720773,0.46153846200000004,0.384615385,0.0,0.0,0.0,0.23076923100000002,0.179487179
153,c,plural,None,correct,bug,correct,,,,"lines made up of ending with a vowel , greater than or equal to 4 times",". * ( . * ) ( ( [ <VOW> ] ) { 4 , } ) . *",以元音结尾的行，大于或等于4次,"lines ending in vowels , greater than or equal to 4 times","( ( . * ) ( [ <VOW> ] ) + ) { 4 , }",0.76056338,0.7428201729999999,6,0.739130435,0.6842105270000001,0.937244823,0.8115150320000001,0.702176348,0.6209782229999999,0.571428571,0.510204082,0.547,0.547,0.547,0.559214286,0.529828571
154,p,plural,p,bug,bug,bug,,,,"lines with a word that has either a character , letters , or the string <M0>",\ b ( . ) |( [ <LET> ] ) + | ( <M0> ) \ b,行中包含一个字符，字母或字符串<M0>的单词,"words containing a character , letter or string <M0> in the line",( . * . . * ) | ( ( <M0> ) . * ( <M0> ) . * ),0.407894737,0.31269104600000003,6,0.739130435,0.6842105270000001,0.937288927,0.8116521459999999,0.568437541,0.432267225,0.4,0.314285714,0.68625,0.68625,0.68625,0.543125,0.5126666670000001
155,BW,FW,FW,bug,bug,bug,"Under-translation, modification",affiliation,"under-translation, modification",lines arranged with a word that has the string <M0> followed by a character,\ b <M0> . * . . * \ b,包含单词<M0>的单词后跟一个字符的行,a line containing the word <M0> followed by a character,. * <M0> . * . . * . *,0.56,0.49820485700000006,8,0.6521739129999999,0.578947369,0.937340657,0.811812967,0.560017121,0.420385664,0.6,0.542857143,0.0,0.0,0.0,0.3,0.253333333
156,FW,FW,FW,bug,bug,bug,"Over-translation, order",order,"over-translation, order",lines starting with the string <M0> in front of a lower-case letter or the string <M1>,( ( <M0> ) ( . * ) ) . * ( ( [ <LOW> ] ) | ( <M1> ) ) . *,以小写字母或字符串<M1>开头的字符串<M0>开头的行,lines that start with a lowercase letter or the string <M1> and start with the string <M0>,( ( [ <LOW> ] ) ( . * ) ) | ( ( <M1> ) & ( <M0> ) ),0.4,0.303062302,11,0.52173913,0.421052631,0.9373561970000001,0.811861279,0.734887338,0.667134785,0.636363636,0.5844155839999999,3.9357682999999994e-06,3.93577e-06,3.93577e-06,0.318183786,0.27272937199999997
157,p,,p,bug,correct,bug,,,,"rows not having the string <M0> , zero or more consecutive times before a lowercase letter",~ ( ( ( <M0> ) * ) . * ( [ <LOW> ] ) . * ),没有字符串<M0>的行，小写字母前连续零次或更多次,"lines without the string <M0> , zero or more consecutive times before lowercase letters",( ( ~ ( <M0> ) ) * ) . * ( [ <LET> ] ) + . *,0.833333333,0.83157339,8,0.6521739129999999,0.578947369,0.937412958,0.812037742,0.828673895,0.7994715029999999,0.647058824,0.596638655,-1.0,0.0,0.0,0.323529412,0.278431373
158,p,plural,p,bug,bug,bug,,,,lines with words that have starting with a character then a number,\ b ( . . * [ <NUM> ] . * ) ( . * ) \ b,带有以字符开头和数字开头的单词的行,lines with words beginning with characters and numbers,( ( . ) + ( . * ) ) & ( [ <NUM> ] ) +,0.651515152,0.609820486,10,0.565217391,0.47368421,0.9374333770000001,0.812101222,0.586006513,0.45705777299999995,0.4,0.314285714,0.0,0.0,0.0,0.2,0.146666667
159,FW,plural,None,bug,bug,correct,,,,"lines with words that have starting from a lower-case letter , greater than or equal to 0 times",\ b ( ( [ <LOW> ] ) * ) ( . * ) \ b,以小写字母开头且大于或等于0倍的单词的行,rows of words starting with lowercase letters and greater than or equal to 0 times,. * ( ( [ <LET> ] ) * ) ( . * ) \ b,0.6947368420000001,0.66253543,11,0.52173913,0.421052631,0.9374337209999999,0.812102291,0.699746497,0.617549603,0.7692307690000001,0.736263736,0.015869,0.015869,0.015869,0.392549885,0.35205321
160,FW,plural,p,bug,bug,bug,,,,"lines having either a letter , the string <M0> , or an upper case letter in front of the string <M1>",( ( [ <LET> ] ) | ( <M0> ) | ( [ <CAP> ] ) ) . * ( <M1> ) . *,包含字母，字符串<M0>或字符串<M1>前面的大写字母的行,"lines containing letters , uppercase letters in front of string <M0> or string <M1>",. * ( [ <LET> ] ) + | ( [ <LET> ] ) + . * . * ( ( <M0> ) | ( <M1> ) ) . *,0.49,0.412829989,11,0.52173913,0.421052631,0.937461836,0.812189697,0.639958678,0.533186513,0.46153846200000004,0.384615385,0.0156,0.0156,0.0156,0.23856923100000002,0.187807179
161,p,,p,bug,correct,bug,,,,"lines arranged with the string <M0> before either a lower-case letter , a vowel , or a number",( <M0> ) . * ( ( [ <LOW> ] ) | ( [ <VOW> ] ) | ( [ <NUM> ] ) ) . *,在小写字母，元音或数字之前用字符串<M0>排列的行,"rows arranged with the string <M0> before lowercase letters , vowels or numbers",( <M0> ) . * ( ( [ <LET> ] ) + | ( [ <VOW> ] ) + ) . *,0.76344086,0.746329666,7,0.695652174,0.6315789479999999,0.937525102,0.812386383,0.7060250790000001,0.6264089420000001,0.7,0.6571428570000001,0.00781,0.007809999999999999,0.007809999999999999,0.353905,0.310832
162,BW,ambiguity,BW,bug,bug,bug,order,order,order,"rows with the string <M0> in front of either the string <M1> , the string <M2> , or a letter",( <M0> ) . * ( ( <M1> ) | ( <M2> ) | ( [ <LET> ] ) ) . *,字符串<M1>，字符串<M2>或字母前面带有字符串<M0>的行,"character string <M1> , character string <M2> , or line with character string <M0> in front of the letter",( ( . ) | ( <M2> ) | ( [ <LOW> ] ) ) . * ( <M0> ) . *,0.39047619,0.291446673,7,0.695652174,0.6315789479999999,0.937548376,0.8124587390000001,0.677831445,0.586626556,0.45,0.37142857100000004,0.0155735,0.0155735,0.0155735,0.23278675,0.1816392
163,c,BW,BW,correct,bug,correct,,,,lines with the string <M0> then a character,<M0> . * . . *,用字符串<M0>然后是一个字符的行,use the string <M0> followed by a character line,<M0> . * . . *,0.5,0.425026399,7,0.695652174,0.6315789479999999,0.9375890490000001,0.812585186,0.626465467,0.514147033,1.0,1.0,1.0,1.0,1.0,1.0,1.0
164,BW,,None,bug,correct,correct,,,,"rows with words that contain a capital letter , zero or more times",\ b ( . * [ <CAP> ] . * ) * \ b,包含零个或多个大写字母的单词的行,rows containing words with zero or more capital letters,. * \ b ( [ <LET> ] ) * \ b . *,0.34848484799999996,0.240232312,8,0.6521739129999999,0.578947369,0.937652913,0.81278373,0.707835927,0.628964124,0.3,0.2,0.152542,0.152542,0.152542,0.226271,0.174689067
165,p,plural,p,bug,bug,bug,,,,lines containing a vowel before a lower-case letter,( . * [ <VOW> ] . * ) . * ( [ <LOW> ] ) . *,在小写字母前包含元音的行,lines containing vowels before lowercase letters,. * ( [ <VOW> ] ) + . * ( [ <LET> ] ) + . * . *,0.862745098,0.867445183,6,0.739130435,0.6842105270000001,0.9376711040000001,0.8128402840000001,0.8019738190000001,0.76179659,0.4375,0.35714285700000004,-1.0,0.0,0.0,0.21875,0.166666667
166,c,,None,correct,correct,correct,,,,"rows with the string <M0> or a vowel , 7 or more times","( ( <M0> ) | ( [ <VOW> ] ) ) { 7 , }",字符串<M0>或元音的行，连续7次或更多次,"string <M0> or vowel line , 7 or more consecutive times","( ( ~ ( [ <VOW> ] ) ) | ( [ <VOW> ] ) ) { 7 , }",0.4,0.303062302,8,0.6521739129999999,0.578947369,0.9377718759999999,0.813153571,0.679666388,0.5892157370000001,0.692307692,0.648351648,-1.0,0.0,0.0,0.346153846,0.30256410300000003
167,c,plural,amb,correct,bug,bug,,,,lines using a vowel or a lower-case letter at least once,( . * [ <VOW> ] . * ) | ( ( [ <LOW> ] ) + ),使用元音或小写字母的行至少一次,use lines with vowels or lowercase letters at least once,( ( [ <VOW> ] ) + | ( [ <LET> ] ) ) +,0.732142857,0.7081573390000001,13,0.434782609,0.31578947399999996,0.9378650890000001,0.813443358,0.7012393,0.61965601,0.428571429,0.346938776,0.474462,0.474462,0.474462,0.451516714,0.41495116200000004
168,FW,FW,FW,bug,bug,bug,affiliation,affiliation,affiliation,lines with words that have the string <M0> or composed of the string <M1>,\ b ( <M0> ) | ( . * <M1> . * ) \ b,包含<M0>字符串或由<M1>字符串组成的单词的行,line containing <M0> character string or word consisting of <M1> character string,. * \ b . * . . * \ b,0.37037037,0.266924791,8,0.6521739129999999,0.578947369,0.937903973,0.813564243,0.449870105,0.26496366,0.384615385,0.296703297,0.0,0.0,0.0,0.192307692,0.138461538
169,p,FW,p,bug,bug,bug,,,,lines with the string <M0> before a capitalized letter or a vowel,( <M0> ) . * ( ( [ <CAP> ] ) | ( [ <VOW> ] ) ) . *,在大写字母或元音之前使用字符串<M0>的行,use the line of the string <M0> before capital letters or vowels,( . * ( <M0> ) . * ( [ <LET> ] ) + . * ) | ( [ <VOW> ] ) + . *,0.646153846,0.603281618,6,0.739130435,0.6842105270000001,0.9379313429999999,0.813649333,0.707982675,0.629171191,0.590909091,0.5324675320000001,1.0,1.0,1.0,0.795454545,0.7818181820000001
170,a,ambiguity,amb,a,bug,bug,,,,lines with the string <M0> or not characters at least one time ,( ( <M0> ) | ( ~ ( . ) + ) ) +,至少一次用字符串<M0>或不是字符的行,use the string <M0> or a line that is not a character at least once,( ( . ) + ) | ( . ),0.5074626870000001,0.43412819799999997,15,0.347826087,0.21052631600000002,0.9380059190000001,0.813881179,0.7172488890000001,0.642246203,0.428571429,0.346938776,-1.0,0.0,0.0,0.214285714,0.16190476199999998
171,p,,p,bug,correct,bug,,,,lines not having the string <M0> or numbers in front of a lower-case letter,~ ( ( ( <M0> ) | ( [ <NUM> ] ) + ) . * ( [ <LOW> ] ) . * ),没有字符串<M0>或小写字母前面的数字的行,lines without string <M0> or digits before lowercase letters,~ ( ( [ <NUM> ] ) + | ( [ <NUM> ] ) + ) . * ( ( [ <LET> ] ) + . * ),0.6,0.546990496,7,0.695652174,0.6315789479999999,0.9380230959999999,0.8139345809999999,0.510662917,0.35074483700000003,0.727272727,0.688311688,-1.0,0.0,0.0,0.363636364,0.321212121
172,c,,None,correct,correct,correct,,,,"lines with the string <M0> , 6 or more times","( <M0> ) { 6 , }",字符串<M0>的行，共6次或更多次,"line of string <M0> , 6 or more times in total","( . * <M0> . * ) { 6 , }",0.608695652,0.55759607,3,0.869565217,0.842105263,0.938124693,0.814250432,0.74205119,0.677243277,0.5,0.428571429,0.0,0.0,0.0,0.25,0.2
173,c,,None,correct,correct,correct,,,,"rows with the string <M0> or ending with the string <M1> , six or more times","( ( <M0> ) | ( ( . * ) ( <M1> ) ) ) { 6 , }",包含字符串<M0>或以字符串<M1>结尾的行六次或更多次,lines containing the string <M0> or ending with the string <M1> six or more times,( . * <M0> . * ) | ( ( . * ) ( <M1> ) ),0.814814815,0.8089874459999999,9,0.608695652,0.52631579,0.9381953120000001,0.814469977,0.8068901409999999,0.7687337240000001,0.647058824,0.596638655,0.007874,0.007873999999999999,0.007873999999999999,0.327466412,0.28263083899999997
174,FW,plural,BW,bug,bug,bug,order,order,order,"lines having either a lower case letter , the string <M0> , or characters in front of the string <M1>",( ( [ <LOW> ] ) | ( <M0> ) | ( . ) + ) . * ( <M1> ) . *,行包含小写字母，字符串<M0>或字符串<M1>前面的字符,"line contains lowercase letters , character before string <M0> or string <M1>",. * ( [ <LET> ] ) + { * ( ( <M0> ) | ( <M1> ) ) . * . * },0.475247525,0.394837266,14,0.39130434799999997,0.263157895,0.9386107509999999,0.8157615229999999,0.577518557,0.445080915,0.47619047600000003,0.401360544,False,0.0,0.0,0.23809523800000001,0.187301587
175,a,ambiguity,amb,a,bug,bug,,,,lines not having the string <M0> at least once or the string <M1>,~ ( ( ( <M0> ) + ) | ( <M1> ) ),至少一次不具有字符串<M0>或字符串<M1>的行,at least one line without string <M0> or string <M1>,+ ( ( <M0> ) + ) | ( <M1> ) +,0.446153846,0.35935342299999995,13,0.434782609,0.31578947399999996,0.938643557,0.8158635120000001,0.600997204,0.47821025899999997,0.7692307690000001,0.736263736,False,0.0,0.0,0.384615385,0.343589744
176,c,,None,correct,correct,correct,,,,lines with a vowel at least one time ,( [ <VOW> ] ) +,用元音至少行一次,use vowels at least once,( [ <VOW> ] ) + +,0.513513514,0.441508034,7,0.695652174,0.6315789479999999,0.676212535,0.0,0.44739123700000005,0.261465875,0.8,0.771428571,False,0.0,0.0,0.4,0.36
177,c,,None,correct,correct,correct,,,,rows not having a vowel then a character,~ ( [ <VOW> ] . * . . * ),没有元音然后是字符的行,lines without vowels and then characters,( ~ ( [ <VOW> ] ) + ) & ( . * . . * ),0.45,0.36404435,10,0.565217391,0.47368421,0.701886639,0.07981741099999999,0.5139937139999999,0.35544472899999996,0.6,0.542857143,-1.0,0.0,0.0,0.3,0.253333333
178,c,,None,correct,correct,correct,,,,"rows not having a character , not a digit , and not a vowel",~ ( ( . ) & ( [ <NUM> ] ) & ( [ <VOW> ] ) ),没有字符，数字和元音的行,"lines without characters , numbers and vowels",~ ( ( . ) + & ( [ <NUM> ] ) + ) & ( [ <VOW> ] ) +,0.423728814,0.332002936,13,0.434782609,0.31578947399999996,0.748751842,0.225515159,0.364766008,0.144878253,0.764705882,0.731092437,1.0,1.0,1.0,0.882352941,0.8745098040000001
179,c,,None,correct,correct,correct,,,,rows not having a lower-case letter,~ ( [ <LOW> ] ),没有小写字母的行,lines without lowercase letters,~ ( [ <LET> ] ) +,0.542857143,0.47729672700000003,8,0.6521739129999999,0.578947369,0.75045658,0.230814966,0.47570138700000003,0.30141266899999997,0.6,0.542857143,0.9996,0.9996,0.9996,0.7998,0.786453333
180,c,,None,correct,correct,correct,,,,"lines not having an upper case letter , not a letter , and not a character",~ ( ( [ <CAP> ] ) & ( [ <LET> ] ) & ( . ) ),没有大写字母，没有字母和字符的行,"no capital letters , no letters and characters",( ( [ <LET> ] ) + & ( [ <LET> ] ) + & ( [ . ] ) + ),0.5,0.425026399,10,0.565217391,0.47368421,0.750970514,0.232412719,0.39977778700000005,0.19428132399999998,0.611111111,0.5555555560000001,0.0,0.0,0.0,0.305555556,0.25925925899999996
181,p,plural,p,bug,bug,bug,,,,rows ending with an upper case letter then a number,( . * ) ( [ <CAP> ] . * [ <NUM> ] . * ),以大写字母和数字结尾的行,lines ending with capital letters and numbers,( . * ) ( [ <LET> ] ) + & ( [ <NUM> ] ) +,0.568627451,0.50872725,7,0.695652174,0.6315789479999999,0.753928578,0.24160895,0.541517489,0.394281916,0.46153846200000004,0.384615385,0.0,0.0,0.0,0.23076923100000002,0.179487179
182,FW,FW,FW,bug,bug,bug,semantic,semantic,semantic,"lines with a number , 3 or more times","( [ <NUM> ] ) { 3 , }",行数大于或等于3次,the number of rows is greater than or equal to 3 times,"( ( . * ) ( , ) ) { 3 , }",0.351851852,0.244338848,9,0.608695652,0.52631579,0.755858817,0.247609809,0.323899465,0.08721386800000001,0.333333333,0.23809523800000001,0.0,0.0,0.0,0.166666667,0.111111111
183,c,,None,correct,correct,correct,,,,"lines with an upper case letter , 0 or more times",( [ <CAP> ] ) *,大写字母的行，0次或更多次,"capital letters , 0 or more times",( ( [ <LET> ] ) + * ),0.551020408,0.487252979,6,0.739130435,0.6842105270000001,0.7608027279999999,0.262979778,0.509379889,0.348934431,0.428571429,0.346938776,False,0.0,0.0,0.214285714,0.16190476199999998
184,c,,None,correct,correct,correct,,,,lines with a number or a vowel at least one time ,( ( [ <NUM> ] ) | ( [ <VOW> ] ) ) +,用数字或元音至少行一次,use numbers or vowels at least once,( ( [ <NUM> ] ) + | ( ( [ <VOW> ] ) + + ) ) +,0.571428571,0.512143611,12,0.47826087,0.36842105399999997,0.7671333640000001,0.282660892,0.49235138799999995,0.324906511,0.666666667,0.6190476189999999,False,0.0,0.0,0.333333333,0.288888889
185,FW,FW,FW,bug,bug,bug,semantic,semantic,semantic,"lines with a number , 5 or more times","( [ <NUM> ] ) { 5 , }",行数大于或等于5次,the number of rows is greater than or equal to 5 times,"( . * ) ( [ , ] ) { 5 , }",0.351851852,0.244338848,9,0.608695652,0.52631579,0.7678317990000001,0.284832235,0.323899465,0.08721386800000001,0.333333333,0.23809523800000001,0.0,0.0,0.0,0.166666667,0.111111111
186,FW,,FW,bug,correct,bug,Under-translation,ut,under-translation,strings preceded by a capitalized letter followed by a letter,( [ <CAP> ] . * [ <LET> ] . * ) ( . * ),字符串后跟大写字母，再跟一个字母,capital letter followed by a letter,[ <CAP> ] . * [ <LET> ] . * \ b,0.5737704920000001,0.514999914,6,0.739130435,0.6842105270000001,0.768495157,0.286894528,0.536593177,0.387333508,0.5,0.428571429,-1.0,0.0,0.0,0.25,0.2
187,c,,None,correct,correct,correct,,,,lines with an upper case letter or a lower-case letter at least once,( ( [ <CAP> ] ) | ( [ <LOW> ] ) ) +,用大写字母或小写字母的行至少一次,use capital or lowercase letters at least once,~ ( ( [ <LET> ] ) + ),0.5735294120000001,0.514705883,11,0.52173913,0.421052631,0.76949112,0.289990846,0.49092041799999997,0.322887353,0.3,0.2,-1.0,0.0,0.0,0.15,0.093333333
188,BW,BW,BW,bug,bug,bug,Under-translation,ut,under-translation,rows are not words that have starting with an uppercase letter,~ ( \ b ( [ <CAP> ] ) ( . * ) \ b ),行不是以大写字母开头的单词,lines that do not start with a capital letter,\ b ~ ( ( [ <CAP> ] ) ( . * ) ) \ b,0.467741935,0.385683141,6,0.739130435,0.6842105270000001,0.7714493370000001,0.296078684,0.43167654899999996,0.23929179899999997,0.666666667,0.6190476189999999,0.0,0.0,0.0,0.333333333,0.288888889
189,a,ambiguity,amb,a,bug,bug,,,,rows with words that don't have a vowel at least once,\ b ~ ( ( [ <VOW> ] ) + ) \ b,至少一次没有元音的单词的行,at least one line of words without vowels,+ \ b ~ ( [ <VOW> ] ) + . * +,0.245283019,0.114363133,14,0.39130434799999997,0.263157895,0.780163892,0.32317108899999997,0.487091241,0.317484225,0.5,0.428571429,False,0.0,0.0,0.25,0.2
